host,ip,port,protocol,title,domain,country,city,link,org
219.155.153.98:9999,219.155.153.98,9999,http,师院方圆,,CN,Zhengzhou,http://219.155.153.98:9999,CHINA UNICOM China169 Backbone
113.86.205.62:808,113.86.205.62,808,http,广东湛江吴川,,CN,Zhanjiang,http://113.86.205.62:808,Chinanet
123.13.157.91:808,123.13.157.91,808,http,张完乡智慧光迅综合管理平台,,CN,Zhoukou,http://123.13.157.91:808,CHINA UNICOM China169 Backbone
110.52.61.44:808,110.52.61.44,808,http,省直中医院IPTV综合管理系统,,CN,Zhuzhou,http://110.52.61.44:808,CHINA UNICOM China169 Backbone
123.13.156.230:808,123.13.156.230,808,http,张完乡智慧光迅综合管理平台,,CN,Zhoukou,http://123.13.156.230:808,CHINA UNICOM China169 Backbone
113.117.73.65:808,113.117.73.65,808,http,揭东白塔龙尾广电,,CN,Jieyang,http://113.117.73.65:808,Chinanet
113.117.73.13:808,113.117.73.13,808,http,揭东白塔龙尾广电,,CN,Jieyang,http://113.117.73.13:808,Chinanet
42.231.63.161:808,42.231.63.161,808,http,张完乡智慧光迅综合管理平台,,CN,Zhengzhou,http://42.231.63.161:808,CHINA UNICOM China169 Backbone
121.20.228.18:8899,121.20.228.18,8899,http,丰润张力,,CN,Tangshan,http://121.20.228.18:8899,CHINA UNICOM China169 Backbone
110.72.23.247:999,110.72.23.247,999,http,贵港3.0,,CN,Nanning,http://110.72.23.247:999,CHINA UNICOM China169 Backbone
120.78.151.79,120.78.151.79,80,http,智慧光迅综合管理平台,,CN,Hangzhou,http://120.78.151.79,"Hangzhou Alibaba Advertising Co.,Ltd."
120.211.62.180:8000,120.211.62.180,8000,http,智慧光迅综合管理系统,,CN,Shijiazhuang,http://120.211.62.180:8000,Hebei Mobile Communication Company Limited
36.35.109.8:8000,36.35.109.8,8000,http,大禧堂宾馆,,CN,Huainan,http://36.35.109.8:8000,CHINA UNICOM China169 Backbone
222.139.230.147:9999,222.139.230.147,9999,http,内乡金城新,,CN,Nanyang,http://222.139.230.147:9999,CHINA UNICOM China169 Backbone
123.10.76.78:808,123.10.76.78,808,http,名流,,CN,Luohe,http://123.10.76.78:808,CHINA UNICOM China169 Backbone
115.56.150.35:808,115.56.150.35,808,http,壹号昌盛楼,,CN,Kaifeng,http://115.56.150.35:808,CHINA UNICOM China169 Backbone
27.41.249.161:801,27.41.249.161,801,http,粤东 潮汕,,CN,Shantou,http://27.41.249.161:801,China Unicom IP network China169 Guangdong province
14.145.190.9:18080,14.145.190.9,18080,http,智慧光迅综合管理系统,,CN,Guangzhou,http://14.145.190.9:18080,Chinanet
222.139.227.183:9999,222.139.227.183,9999,http,内乡金城新,,CN,Nanyang,http://222.139.227.183:9999,CHINA UNICOM China169 Backbone
1.197.168.160:9999,1.197.168.160,9999,http,淅川麒御,,CN,Nanyang,http://1.197.168.160:9999,Chinanet
222.139.229.140:9999,222.139.229.140,9999,http,内乡金城新,,CN,Nanyang,http://222.139.229.140:9999,CHINA UNICOM China169 Backbone
222.139.226.57:9999,222.139.226.57,9999,http,内乡金城新,,CN,Nanyang,http://222.139.226.57:9999,CHINA UNICOM China169 Backbone
123.189.59.70:88,123.189.59.70,88,http,海城希悦国际酒店综合管理系统,,CN,Anshan,http://123.189.59.70:88,CHINA UNICOM China169 Backbone
171.15.151.117:9999,171.15.151.117,9999,http,云河国际酒店,,CN,Zhengzhou,http://171.15.151.117:9999,Chinanet
221.205.234.171:8088,221.205.234.171,8088,http,智慧光迅综合管理系统,,CN,Taiyuan,http://221.205.234.171:8088,CHINA UNICOM China169 Backbone
219.155.227.94:8008,219.155.227.94,8008,http,陌上酒店潢川店综合管理系统,,CN,Xinyang,http://219.155.227.94:8008,CHINA UNICOM China169 Backbone
112.103.141.151:8083,112.103.141.151,8083,http,智慧视频综合管理系统,,CN,Harbin,http://112.103.141.151:8083,"Heilongjiang Province, P.R.China."
112.103.141.99:8083,112.103.141.99,8083,http,智慧视频综合管理系统,,CN,Harbin,http://112.103.141.99:8083,"Heilongjiang Province, P.R.China."
120.5.51.65:8899,120.5.51.65,8899,http,丰润张力,,CN,Tangshan,http://120.5.51.65:8899,CHINA UNICOM China169 Backbone
120.5.51.96:8899,120.5.51.96,8899,http,丰润张力,,CN,Tangshan,http://120.5.51.96:8899,CHINA UNICOM China169 Backbone
120.5.50.230:8899,120.5.50.230,8899,http,丰润张力,,CN,Tangshan,http://120.5.50.230:8899,CHINA UNICOM China169 Backbone
120.5.51.13:8899,120.5.51.13,8899,http,丰润张力,,CN,Tangshan,http://120.5.51.13:8899,CHINA UNICOM China169 Backbone
